event,event_no,discipline,gender,phase,date,rank,team,leg,swimmer,date_raw,date_source,page
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,7,Punjab,1,Rishabh Singh Dadhwal,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,7,Punjab,2,Kriti Arora,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,7,Punjab,3,Anshav Jindal,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,7,Punjab,4,Shubnoor Kaur,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,1,Karnataka,1,Srihari Nataraj,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,1,Karnataka,2,Vidith S Shankar,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,1,Karnataka,3,Naisha Shetty,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,1,Karnataka,4,Dhinidhi Desinghu,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,2,Tamilnadu,1,Pramiti Gnanasekaran,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,2,Tamilnadu,2,S.Danush,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,2,Tamilnadu,3,Benedicton Rohit,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,2,Tamilnadu,4,Deeksha Sivakumar,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,3,Maharashtra,1,Rishabh Das,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,3,Maharashtra,2,Jyoti Patil,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,3,Maharashtra,3,Mihir Ambre,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,3,Maharashtra,4,Aditi Satish Hegde,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,4,Bengal,1,Soubriti Mondal,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,4,Bengal,2,Dipan Das,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,4,Bengal,3,Parambrata Biswas,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,4,Bengal,4,Snigdha Ghosh,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,5,Odisha,1,Pratyasa Ray,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,5,Odisha,2,Divyanka Dibyajyoti Pradhan,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,5,Odisha,3,Shubrant Patra,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,5,Odisha,4,Jagjit Pradhan,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,6,Punjab,1,Avni Chhabra,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,6,Punjab,2,Chahat Arora,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,6,Punjab,3,Anshav Jindal,04-02-2025,session date on first block,17
38th NATIONAL GAMES 2025,42,4 x 100m Medley,Mixed,Results,2025-02-04,6,Punjab,4,Rishabh Singh Dadhwal,04-02-2025,session date on first block,17
