event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50 kg),Semifinals,,ONGAROV NURZAT,KAZ,MAGHRAOUI FRYHAH ISMAEL,ESP,MAGHRAOUI FRYHAH ISMAEL,WP 4:1,SÀ. 7 FEB. 2026,As of line,42
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50 kg),Final,,TASHKENBAY SANZHAR,KAZ,MAGHRAOUI FRYHAH ISMAEL,ESP,TASHKENBAY SANZHAR,WP 5:0,SÀ. 7 FEB. 2026,As of line,42
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,TURBIDE ALEXIS,CAN,WANUKAGA ALVIN,SWE,WANUKAGA ALVIN,WP 3:1,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,SABYRKHAN MAKHMUD,KAZ,GAUCHER IZAYA,FRA,SABYRKHAN MAKHMUD,WP 4:1,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,PENG CHIA-FENG,TPE,CHULIACHIEIEV OLEH,UKR,PENG CHIA-FENG,WP 4:1,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,MUKHAMMADIIEV SIIOVUSH,UKR,MANDENGBAM JADUMANI SINGH,IND,MANDENGBAM JADUMANI SINGH,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,BARTWAL PAWAN,IND,SAENGPHET THANARAT,THA,BARTWAL PAWAN,ABD R2,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,ZYMENKO MAKSYM,UKR,TROWBRIDGE ELLIS,ENG,TROWBRIDGE ELLIS,WP 4:1,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,CULLEM AARON ANDREW,SCO,BORANBEK BEXULTAN,KAZ,BORANBEK BEXULTAN,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Preliminaries,,MOLINA SALVADOR MARTIN,ESP,TOMINES MAXIMUS,CAN,TOMINES MAXIMUS,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
