event,date,division,rank,name,country,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),3,RAKSAT CHUTHAMAT,THA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),3,POKUSAI TAISSIA,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),3,SMITH IVY-JANE,ENG,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),3,HAMDI AYA,FRA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57kg),1,RUENROS PUNRAWEE,THA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60kg),1,PRIYA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65kg),1,ALLEN KAYLA,ENG,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70kg),1,CHOUDHARY ARUNDHATI,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75kg),1,BORGOHAIN LOVLINA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 80 Kg (EW-80kg),1,NAINA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women + 80 Kg (EW+80kg),1,SADYKOVA UMIDA,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57kg),2,WEERHEIM GABRIELLA,NED,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60kg),2,DOVHAL TETIANA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65kg),2,SERIK NAZERKE,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70kg),2,TARAN ANASTASIIA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75kg),2,SMITH MARY-KATE,ENG,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 80 Kg (EW-80kg),2,PISKUN RAISA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women + 80 Kg (EW+80kg),2,SEITIKKAHNKYZY PANAR,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57kg),3,AL AHMADEI MARIE,CAN,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57kg),3,PARSONS VIVIEN,ENG,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60kg),3,van der TOORN MAUD,NED,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60kg),3,SOMNEUK THANANYA,THA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65kg),3,KAJAL,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65kg),3,YADAV PRANJAL,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70kg),3,MARTINEZ MAS DUNIA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70kg),3,BADIN ANDREA,FRA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75kg),3,ECCLES ROSIE,WAL,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75kg),3,THOKCHOM SANAMACHA CHANU,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 80 Kg (EW-80kg),3,SADYKOVA GUZAL,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women + 80 Kg (EW+80kg),3,MANIKRAT KAUR,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women + 80 Kg (EW+80kg),3,GULLEN ORTIZ TINDAYA LUCIA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),1,RANI MANJU,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),2,LOPEZ DEL ARBOL MARTA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),3,LYNIV SOLOMIIA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),3,TURGANOVA YELYANUR,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),5,D'ALMEIDA GLORIA,FRA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),1,NITU,IND,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),2,GUTIERREZ SALMERON NOELIA,ESP,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),3,RAKSAT CHUTHAMAT,THA,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),3,POKUSAI TAISSIA,UKR,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,WRIGHT MCKENZIE,CAN,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,BOUREGA MAYSSOUN,FRA,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,KUSUM,IND,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,CHIU CHING-YU,TPE,SÀ. 7 FEB. 2026,As of line,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),1,POONAM,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),2,PREETI,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),3,SMITH IVY-JANE,ENG,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),3,HAMDI AYA,FRA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),5,CHONGPRONGKLANG NATNICHA,THA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),5,GONZALEZ CACERES MARIA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),5,de FELICE ANGELA,SUI,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),5,SHKEUL VICTORIIA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,34
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),1,RUENROS PUNRAWEE,THA,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),2,WEERHEIM GABRIELLA,NED,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),3,AL AHMADIEH MARIE,CAN,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),3,PARSONS VIVIEN,ENG,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),5,VINKA,IND,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),5,CARDENAS FERNANDEZ ANDREA,ESP,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),5,HUTARINA DARIA-OLHA,UKR,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),5,PRACHI,IND,SÁ. 7 FEB. 2026,As of line,35
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),1,PRIYA,IND,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),2,DOVHAL TETIANA,UKR,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),3,van der TOORN MAUD,NED,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),3,SOMNUEK THANANYA,THA,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),5,GALANO LOPEZ LAURA,ESP,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),5,BAIDUKOVA VIKTORIYA,KAZ,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),5,GRAFEYEVA YEVGENIYA,KAZ,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60 kg),5,PATIL DISHA VIJAY,IND,SÁ. 7 FEB. 2026,As of line,36
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),1,ALLEN KAYLA,ENG,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),2,SERIK NAZERKE,KAZ,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),3,YADAV PRANJAL,IND,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),3,KAJAL,IND,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),5,MERINOVA NATALIIA,UKR,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),5,SOTO TORRES MARIANA,ESP,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),5,ICHSANOVA AKNAR,KAZ,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65 kg),5,JILKOVÁ VIKTORIE,CZE,SÁ. 7 FEB. 2026,As of line,37
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),1,CHOURDHARY ARUNDHATI,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),2,TARAN ANASTASIIA,UKR,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),3,MARTINEZ MAS DUNIA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),3,BADIN ANDREA,FRA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),5,LOPEZ MOTA LORENA,ESP,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),5,MONTEMIGLIO MAEVA,CAN,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),5,ISSINA AZIZA,KAZ,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70 kg),5,SNEHA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,38
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),1,BORGOHAIN LOVLINA,IND,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),2,SMITH MARY-KATE,ENG,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),3,ECCLES ROSIE,WAL,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),3,THOKCHOM SANAMACHA CHANU,IND,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),5,PYLYPCHUK OLHA,UKR,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),5,GARCIA ADAME ALMA,ESP,SÁ. 7 FEB. 2026,As of line,39
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75 kg),5,SOKOLOVSKA ANASTASIYA,ESP,SÁ. 7 FEB. 2026,As of line,39
