event,date,division,rank,name,country,date_raw,date_source,page
Commonwealth Games,2026-08-01,Women's 70kg,3,PERGOLITI Lekiesha,AUS,SAT 1 AUG 2026,As of line,49
Commonwealth Games,2026-08-01,Women's 70kg,5,HENDERSON Morgan,NZL,SAT 1 AUG 2026,As of line,49
Commonwealth Games,2026-08-01,Women's 70kg,5,HILL Jansseen,NIR,SAT 1 AUG 2026,As of line,49
Commonwealth Games,2026-08-01,Women's 70kg,5,NCUBE Samukelisiwe Sinothile,RSA,SAT 1 AUG 2026,As of line,49
Commonwealth Games,2026-08-01,Women's 70kg,5,ORAKWE Blessing,NGR,SAT 1 AUG 2026,As of line,49
Commonwealth Games,2026-08-01,Women's 75kg,1,GREENTREE Emma-Sue,AUS,SAT 1 AUG 2026,As of line,50
Commonwealth Games,2026-08-01,Women's 75kg,2,BORGOHAIN Lovina,IND,SAT 1 AUG 2026,As of line,50
Commonwealth Games,2026-08-01,Women's 75kg,3,SMITH Mary Kate,ENG,SAT 1 AUG 2026,As of line,50
Commonwealth Games,2026-08-01,Women's 75kg,3,TAAFAKI Tarona Khanum Badi Pasoni,TUV,SAT 1 AUG 2026,As of line,50
Commonwealth Games,2026-08-01,Women's 75kg,5,MBATA Patricia,NGR,SAT 1 AUG 2026,As of line,50
Commonwealth Games,2026-08-01,Men's 55kg,1,DIXON Jye,AUS,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,2,MANDENGBAM Jadumani Singh,IND,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,3,MOHAMMED Amadu,GHA,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,3,HAOSEB Philip Pumulo Mutakela,NAM,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,5,HOSSAIN Md Rakib,BAN,SAT 1 AUG 2026,As of line,51
