event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,_page
,,WOMEN'S 48KG RANKINGS,ranking_table,1,Minakshi MINAKSHI,Minakshi MINAKSHI,IND,,1,2225.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,2,Nazym KYZAIBAY,Nazym KYZAIBAY,KAZ,,2,1262.5,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,3,Sabina BOBOKULOVA,Sabina BOBOKULOVA,UZB,,3,600.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,4,Enkh-Amgalan NOMUNDARI,Enkh-Amgalan NOMUNDARI,MGL,,4,500.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,5,Hiraku SHINOHARA,Hiraku SHINOHARA,JPN,,5,468.75,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,6,Altansetseg LUTSAIKHAN,Altansetseg LUTSAIKHAN,MGL,,6,450.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,7,Fozilova FARZONA,Fozilova FARZONA,UZB,,8,400.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,8,Hanna OKHOTA,Hanna OKHOTA,UKR,,7,337.5,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Giovanna MARCHESE,Giovanna MARCHESE,ITA,,8,300.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Sattibayeva ALGERIM,Sattibayeva ALGERIM,KAZ,,8,300.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Yodwaree THIPSATCHA,Yodwaree THIPSATCHA,THA,,8,300.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,12,Alice PUMPHREY,Alice PUMPHREY,ENG,,12,225.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,13,Milagros Tatiana FLORES,Milagros Tatiana FLORES,ARG,,13,187.5,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,14,Fatima HERRERA,Fatima HERRERA,MEX,,18,175.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Jyoti JYOTI,Jyoti JYOTI,IND,,x,150.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Anh Pham THI QUYNH,Anh Pham THI QUYNH,VIE,,14,150.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Wangmo CHIMMI,Wangmo CHIMMI,BHU,,14,150.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Yuka SADAMATSU,Yuka SADAMATSU,JPN,,14,150.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,19,Bak CHORONG,Bak CHORONG,KOR,,17,112.5,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,20,Angelika KRYSZTOFORSKA,Angelika KRYSZTOFORSKA,POL,,x,75.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,20,MARTA LÓPEZ DEL ÁRBOL,MARTA LÓPEZ DEL ÁRBOL,ESP,,19,75.0,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,22,Radija GAMA,Radija GAMA,BRA,,20,71.25,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,23,Yi-xuan GUO,Yi-xuan GUO,TPE,,21,56.25,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,23,Nurselen YALGETTEKIN,Nurselen YALGETTEKIN,TUR,,21,56.25,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,25,Nicole DURIKOVA,Nicole DURIKOVA,SVK,,23,22.5,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,26,Ahadi LUKUNGU,Ahadi LUKUNGU,NOR,,24,11.25,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,26,Alexa GOMEZ,Alexa GOMEZ,MEX,,24,11.25,,2
,,WOMEN'S 51KG RANKINGS,ranking_table,1,Wu YU,Wu YU,CHN,,1,1950.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,2,Buse CAKIROGLU,Buse CAKIROGLU,TUR,,2,1400.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,3,Alua BALKIBEKOVA,Alua BALKIBEKOVA,KAZ,,3,1275.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,4,Zareen NIKHAT,Zareen NIKHAT,IND,,4,750.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,5,Yi-Xuan GUO,Yi-Xuan GUO,TPE,,5,675.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,6,Xinyu QI,Xinyu QI,CHN,,6,600.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,7,Byol An KUM,Byol An KUM,PRK,,7,500.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,8,Feruza KAZAKOVA,Feruza KAZAKOVA,UZB,,8,450.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,9,Pihla KAIVO-OJA,Pihla KAIVO-OJA,FIN,,9,425.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,10,Mungunsaran BALSAN,Mungunsaran BALSAN,MGL,,10,375.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,11,Wassila LKHADIRI,Wassila LKHADIRI,FRA,,11,306.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,12,Laura FUERTES FERNANDEZ,Laura FUERTES FERNANDEZ,ESP,,13,300.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,13,Gulsevar GANIEVA,Gulsevar GANIEVA,UZB,,12,262.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,14,Romane MOULAI,Romane MOULAI,FRA,,18,175.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,15,Chorong BAK,Chorong BAK,KOR,,14,150.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,15,Xian BAGUIHN,Xian BAGUIHN,PHI,,16,150.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhaziya URAKBAYEVA,Zhaziya URAKBAYEVA,KAZ,,16,112.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhansaya RAKHYMBERDI,Zhansaya RAKHYMBERDI,KAZ,,16,112.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,19,Minakshi MINAKSHI,Minakshi MINAKSHI,IND,,x,100.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,19,Guanxia XIONG,Guanxia XIONG,CHN,,18,100.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,21,Noelle HARO,Noelle HARO,USA,,20,75.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,21,Yu-Shan LIU,Yu-Shan LIU,TPE,,20,75.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,21,Lalita CHAINARONG,Lalita CHAINARONG,THA,,20,75.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,21,Rinka KINOSHITA,Rinka KINOSHITA,JPN,,20,75.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,21,Lucia AYARI,Lucia AYARI,ITA,,20,75.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,26,Natalia KUCZEWSKA,Natalia KUCZEWSKA,POL,,25,56.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,26,Jennifer LOZANO,Jennifer LOZANO,USA,,25,56.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,26,Caroline BARBOSA DE ALMEIDA,Caroline BARBOSA DE ALMEIDA,BRA,,25,56.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,29,Danisha MATHIALAGAN,Danisha MATHIALAGAN,SGP,,28,50.0,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,30,Altansetseg LUTSAIKHAN,Altansetseg LUTSAIKHAN,MGL,,30,37.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,30,Janarguli BYEISENBYEI,Janarguli BYEISENBYEI,MGL,,29,37.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,32,Yuna NISHINAKA,Yuna NISHINAKA,JPN,,31,22.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,33,Mckenzie WRIGHT,Mckenzie WRIGHT,CAN,,32,11.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,33,Maxi KLOTZER,Maxi KLOTZER,GER,,32,11.25,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,34,Laura MYLLYMÄKI,Laura MYLLYMÄKI,FIN,,32,7.5,,3
,,WOMEN'S 51KG RANKINGS,ranking_table,35,Ahadi LUKUNGU,Ahadi LUKUNGU,NOR,,32,7.5,,3
,,WOMEN'S 54KG RANKINGS,ranking_table,1,Hsiao-Wen HUANG,Hsiao-Wen HUANG,TPE,,1,1887.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,2,Aeji IM,Aeji IM,KOR,,2,1225.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,3,Preeti PREETI,Preeti PREETI,IND,,3,1025.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,4,Yoseline PEREZ,Yoseline PEREZ,USA,,4,937.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,5,Hatice AKBAS,Hatice AKBAS,TUR,,5,875.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,6,Sirine CHARABABI,Sirine CHARABABI,ITA,,6,756.25,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,7,Zhao XUAN,Zhao XUAN,CHN,,7,300.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,7,Tatiana De Jesus CHAGAS,Tatiana De Jesus CHAGAS,BRA,,7,300.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,9,Wiktoria ROGALINSKA,Wiktoria ROGALINSKA,POL,,9,281.25,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,10,Chongprongklang Natincha,Chongprongklang Natincha,THA,,13,225.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,10,Ariadna Jeanette GIL,Ariadna Jeanette GIL,MEX,,10,225.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,10,Nigina UKTAMOVA,Nigina UKTAMOVA,UZB,,10,225.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,13,Yesugen OYUNTSETSEG,Yesugen OYUNTSETSEG,MGL,,12,175.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,14,Nazym KYZAIBAY,Nazym KYZAIBAY,KAZ,,x,150.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,14,Namiki TSUKIMI,Namiki TSUKIMI,JPN,,13,150.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,14,Munguntsetseg ENKHJARGAL,Munguntsetseg ENKHJARGAL,MGL,,13,150.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,14,Wagmo KINGA,Wagmo KINGA,BHU,,13,150.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,14,Yunnan GAN,Yunnan GAN,CHN,,13,150.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,19,Lauren MACKIE,Lauren MACKIE,ENG,,18,131.25,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,20,Sakshi SAKSHI,Sakshi SAKSHI,IND,,19,112.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,21,Sara ĆIRKOVIĆ,Sara ĆIRKOVIĆ,SRB,,20,100.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,22,Wassila LKHADIRI,Wassila LKHADIRI,FRA,,x,75.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,22,Widad BERTAL,Widad BERTAL,MAR,,21,75.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,24,Ivy-Jane SMITH,Ivy-Jane SMITH,ENG,,22,62.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,25,Feruza KAZAKOVA,Feruza KAZAKOVA,UZB,,23,56.25,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,26,Michidmaa ERDENEDALAI,Michidmaa ERDENEDALAI,MGL,,24,50.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,27,Khulan PUREVDORJ,Khulan PUREVDORJ,MGL,,25,37.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,28,Charley DAVIDSON,Charley DAVIDSON,ENG,,26,22.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,29,Teresa MÄKINEN,Teresa MÄKINEN,FIN,,27,15.0,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,30,Hanna LAKOTAR,Hanna LAKOTAR,HUN,,28,11.25,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,31,Tatjana OBERMEIER,Tatjana OBERMEIER,GER,,29,7.5,,4
,,WOMEN'S 54KG RANKINGS,ranking_table,31,Anabelle BRUUN,Anabelle BRUUN,NOR,,29,7.5,,4
,,WOMEN'S 57KG RANKINGS,ranking_table,1,Jaismine JAISMINE,Jaismine JAISMINE,IND,,1,1962.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,2,Julia SZEREMETA,Julia SZEREMETA,POL,,2,1475.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,3,Yu-Ting LIN,Yu-Ting LIN,TPE,,3,1000.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,4,Punrawee RUERNOS,Punrawee RUERNOS,THA,,4,800.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,5,Carolina ALCALA CEGOVIA,Carolina ALCALA CEGOVIA,VEN,,5,600.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,6,Jucielen ROMEU,Jucielen ROMEU,BRA,,6,587.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,7,Shih-Yi WU,Shih-Yi WU,TPE,,7,506.25,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,8,Nigina UKTAMOVA,Nigina UKTAMOVA,UZB,,12,450.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,8,Valeria ARBOLEDA MENDOZA,Valeria ARBOLEDA MENDOZA,COL,,8,450.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,10,Esra YILDIZ,Esra YILDIZ,TUR,,9,400.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,11,Gabriella WEERHEIM,Gabriella WEERHEIM,NED,,10,325.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,12,Ulzhan SARSENBEK,Ulzhan SARSENBEK,KAZ,,11,318.75,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,13,Mijgona SAMADOVA,Mijgona SAMADOVA,TJK,,12,300.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,14,Enkhjargal UNGUNTSETSEG,Enkhjargal UNGUNTSETSEG,MGL,,14,250.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,15,Ziyi CHEN,Ziyi CHEN,CHN,,18,225.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,15,Khumorabonu MAMAJONOVA,Khumorabonu MAMAJONOVA,UZB,,15,225.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,15,Karina IBRAGIMOVA,Karina IBRAGIMOVA,KAZ,,20,225.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,17,Vivien PARSONS,Vivien PARSONS,ENG,,17,171.25,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,19,Nomin-Erdene TUGSJARGAL,Nomin-Erdene TUGSJARGAL,MGL,,18,150.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,19,Ching-Yu YAO,Ching-Yu YAO,TPE,,18,150.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,21,Ahhyeon PARK,Ahhyeon PARK,KOR,,21,112.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,22,Prachi PRACHI,Prachi PRACHI,IND,,x,100.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,22,Kukhta VLADISLAVA,Kukhta VLADISLAVA,HUN,,22,100.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,24,Amina ZIDANI,Amina ZIDANI,FRA,,x,75.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,24,Delfina ARANCIBIA,Delfina ARANCIBIA,ARG,,23,75.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,24,Preedakamon TINTABTHAI,Preedakamon TINTABTHAI,THA,,23,75.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,24,Satsuki YOSHIZAWA,Satsuki YOSHIZAWA,JPN,,23,75.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,26,Aidana ZABYNBEKOVA,Aidana ZABYNBEKOVA,KAZ,,26,56.25,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,29,Mulan RUAN,Mulan RUAN,CHN,,27,50.0,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,30,Bolortuul TUMURKHUYAG,Bolortuul TUMURKHUYAG,MGL,,28,37.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,30,Oyun-Erdene NERGUI,Oyun-Erdene NERGUI,MGL,,28,37.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,30,Alyssa MENDOZA,Alyssa MENDOZA,USA,,28,37.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,33,Michidmaa ERDENEDALAI,Michidmaa ERDENEDALAI,MGL,,31,22.5,,5
,,WOMEN'S 57KG RANKINGS,ranking_table,34,Laura Djida AKRAM,Laura Djida AKRAM,PAK,,32,11.25,,5
,,WOMEN'S 60KG RANKINGS,ranking_table,1,Rebeca DE LIMA SANTOS,Rebeca DE LIMA SANTOS,BRA,,1,1400.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,2,Aneta RYGIELSKA,Aneta RYGIELSKA,POL,,2,1012.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,3,Viktoriya GRAFEYEVA,Viktoriya GRAFEYEVA,KAZ,,4,862.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,4,Priya PRIYA,Priya PRIYA,IND,,3,800.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,5,Chengyu YANG,Chengyu YANG,CHN,,6,675.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,6,Ayaka TAGUCHI,Ayaka TAGUCHI,JPN,,5,600.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,7,Yeonji OH,Yeonji OH,KOR,,7,525.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,8,Un-Gyong WON,Un-Gyong WON,PRK,,8,500.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,9,Yu-Ting LIN,Yu-Ting LIN,TPE,,11,400.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,9,Shih-Yi WU,Shih-Yi WU,TPE,,9,400.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,11,Namuun MONKHOR,Namuun MONKHOR,MGL,,10,375.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,12,Sitora TURDIBEKOVA,Sitora TURDIBEKOVA,UZB,,13,300.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,13,Angie VALDES PANA,Angie VALDES PANA,COL,,12,250.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,14,Parveen PARVEEN,Parveen PARVEEN,IND,,13,225.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,14,Camila Gabriela CAMILO BRAVO,Camila Gabriela CAMILO BRAVO,COL,,13,225.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,16,Elise GLYNN,Elise GLYNN,ENG,,16,221.25,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,17,Mushtariybonu IBROKHIMJONOVA,Mushtariybonu IBROKHIMJONOVA,UZB,,17,150.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,18,Rebecca NICOLI,Rebecca NICOLI,ITA,,18,112.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,19,Maud VAN DER TOON,Maud VAN DER TOON,NED,,19,82.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,20,Yu TIAN,Yu TIAN,CHN,,20,75.0,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,21,Tina RAHIMI,Tina RAHIMI,AUS,,21,56.25,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,21,Sanju SANJU,Sanju SANJU,IND,,21,56.25,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,21,Lucy KINGS-WHEATLEY,Lucy KINGS-WHEATLEY,ENG,,21,56.25,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,24,Jinwen WANG,Jinwen WANG,CHN,,24,37.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,25,Marif AL AHMADIEIT,Marif AL AHMADIEIT,CAN,,25,22.5,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,26,Jajaira GONZALEZ,Jajaira GONZALEZ,USA,,26,11.25,,6
,,WOMEN'S 60KG RANKINGS,ranking_table,27,Ramona GRAEFF,Ramona GRAEFF,GER,,27,7.5,,6
,,WOMEN'S 65KG RANKINGS,ranking_table,1,Nien-Chin CHEN,Nien-Chin CHEN,TPE,,1,1875.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,2,Aida ABIKEYEVA,Aida ABIKEYEVA,KAZ,,2,1356.25,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,3,Navbakhor Khamidova,Navbakhor Khamidova,UZB,,3,1262.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,4,Liu YANG,Liu YANG,CHN,,4,875.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,5,Busenaz SURMENELI,Busenaz SURMENELI,TUR,,5,550.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,6,Sacha HICKEY,Sacha HICKEY,ENG,,8,512.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,7,Hyo Sun HWANG,Hyo Sun HWANG,PRK,,6,500.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,8,Grainne Mary WALSH,Grainne Mary WALSH,IRL,,7,450.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,9,Kinga KROWKA,Kinga KROWKA,POL,,11,375.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,9,Shu LI,Shu LI,CHN,,9,375.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,11,Oshin DERIEUW,Oshin DERIEUW,BEL,,10,362.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,12,Ankushita BORO,Ankushita BORO,IND,,11,300.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,12,Dione BURMAN,Dione BURMAN,ENG,,11,300.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,14,Anna HAMORI,Anna HAMORI,HUN,,14,272.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,15,Sukyong KANG,Sukyong KANG,KOR,,15,187.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,16,Beatriz FERREIRA,Beatriz FERREIRA,BRA,,x,150.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,16,Tsetsegdari MYAGMARSUREN,Tsetsegdari MYAGMARSUREN,MGL,,16,150.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,16,Feruza ABDUALIMOVA,Feruza ABDUALIMOVA,UZB,,16,150.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,16,Laura YESSENKELDI,Laura YESSENKELDI,KAZ,,16,150.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,16,Porntip BUAPA,Porntip BUAPA,THA,,16,150.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,20,Kayla ALLEN,Kayla ALLEN,ENG,,20,125.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,21,Morelle MCCANE,Morelle MCCANE,USA,,21,123.75,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,22,Neeraj PHOGAT,Neeraj PHOGAT,IND,,22,112.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,23,Beatriz OLIVEIRA SOARES,Beatriz OLIVEIRA SOARES,BRA,,23,86.25,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,24,Hong-eun CHOI,Hongeun CHOI,KOR,,24,50.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,25,Chiara SARAIELLO,Chiara SARAIELLO,ITA,,25,37.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,26,Sarnaitsetseg ERDENEBAT,Sarnaitsetseg ERDENEBAT,MGL,,25,37.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,27,Madeleine ANGELSEN,Madeleine ANGELSEN,NOR,,27,15.0,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,28,Krista KOVALAINEN,Krista KOVALAINEN,FIN,,28,7.5,,7
,,WOMEN'S 65KG RANKINGS,ranking_table,29,Charlotta SCHUENEMANN,Charlotta SCHUENEMANN,GER,,28,7.5,,7
,,WOMEN'S 70KG RANKINGS,ranking_table,1,Natalya BOGDANOVA,Natalya BOGDANOVA,KAZ,,1,1237.5,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,2,Arundhati CHOUDHARY,Arundhati CHOUDHARY,IND,,2,1025.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,3,Lekeisha PERGOLITI,Lekeisha PERGOLITI,AUS,,3,1000.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,4,Aziza ZOKIROVA,Aziza ZOKIROVA,UZB,,4,600.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,5,Chantelle REID,Chantelle REID,ENG,,6,525.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,6,Bakyt SEIDISH,Bakyt SEIDISH,KAZ,,5,500.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,7,Leonie MULLER,Leonie MULLER,GER,,6,450.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,8,Liu YANG,Liu YANG,CHN,,14,300.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,8,Oysha TOIROVA,Oysha TOIROVA,UZB,,8,300.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,8,Alimire ABUDUREYIMU,Alimire ABUDUREYIMU,CHN,,8,300.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,11,Sema CALISKAN,Sema CALISKAN,TUR,,10,225.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,11,Lisa Edel O'ROURKE,Lisa Edel O'ROURKE,IRL,,10,225.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,11,Mengge ZHANG,Mengge ZHANG,CHN,,10,225.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,14,Barbara MARCINKOWSKA,Barbara MARCINKOWSKA,POL,,13,187.5,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,15,Sujin SEON,Sujin SEON,KOR,,14,150.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,16,Anastasiaa CHERNOKOLENKO,Anastasiaa CHERNOKOLENKO,UKR,,16,112.5,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,17,Maelys RICHOL,Maelys RICHOL,FRA,,x,100.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,18,Isabella WINKLER,Isabella WINKLER,USA,,17,75.0,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,19,Patricia MBATA,Patricia MBATA,NGR,,18,56.25,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,19,Queila BRAGA,Queila BRAGA,BRA,,18,56.25,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,21,Barbara dos SANTOS,Barbara dos SANTOS,BRA,,20,37.5,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,22,Marie-Angelis ROSENDO,Marie-Angelis ROSENDO,USA,,21,22.5,,8
,,WOMEN'S 70KG RANKINGS,ranking_table,23,Darianne HERNANDEZ,Darianne HERNANDEZ,MEX,,22,11.25,,8
