Weight Category,Rank,Boxer,Seed,Team Code
Elite Men + 90 Kg (EM+90kg),1,ORALBAY AIBEK,,KAZ
Elite Men - 90 Kg (EM-90kg),2,TOGAMBAY SAGYNDYK,,KAZ
Elite Men + 90 Kg (EM+90kg),2,ASSYLKHAN NURASSYL,,KAZ
Elite Men - 90 Kg (EM-90kg),3,OKOH ISSAC,,ENG
Elite Men + 90 Kg (EM+90kg),3,KHALETSKYI ANDRII,,UKR
Elite Men - 90 Kg (EM-90kg),3,MICHKOVSKYI PAVLO,,UKR
Elite Men + 90 Kg (EM+90kg),3,LOVCHYNSKYI DMYTRO,,UKR
Elite Men - 90 Kg (EM-90kg),5,RAKHMANOV ONGTALAP,,KAZ
Elite Men + 90 Kg (EM+90kg),5,WILLIAMS MATT,,ENG
Elite Men - 90 Kg (EM-90kg),5,SOUKOUNA KANDORO,,FRA
Elite Men + 90 Kg (EM+90kg),5,GILL SAWAN,,IND
Elite Men - 90 Kg (EM-90kg),5,CHOUDHARY HARSH,,IND
Elite Men + 90 Kg (EM+90kg),5,GLADOSEV DMITRI,,EST
Elite Men - 90 Kg (EM-90kg),5,BELEZIKA ELWIN,,SWE
Elite Men + 90 Kg (EM+90kg),5,EL KHATTABI ZAGHDAD ABDEL MONIM,,ESP
Elite Men - 90 Kg (EM-90kg),9,TOLMACHOV BOGDAN,,UKR
Elite Men - 90 Kg (EM-90kg),9,KERMAS LEON,,EST
Elite Women - 48 Kg (EW-48kg),1,RANI MANJU,,IND
Elite Women - 51 Kg (EW-51kg),1,NITU,,IND
Elite Women - 48 Kg (EW-48kg),2,LOPEZ DEL ARBOL MARTA,,ESP
Elite Women - 51 Kg (EW-51kg),2,GUTIERREZ SALMERON NOELIA,,ESP
Elite Women - 48 Kg (EW-48kg),3,LYNIV SOLOMIIA,,UKR
Elite Women - 51 Kg (EW-51kg),3,RAKSAT CHUTHAMAT,,THA
Elite Women - 48 Kg (EW-48kg),3,TURGANOVA YELYANUR,,KAZ
Elite Women - 51 Kg (EW-51kg),3,POKUSAI TAISSIA,,UKR
Elite Women - 48 Kg (EW-48kg),5,D´ALMEIDA GLORIA,,FRA
Elite Women - 51 Kg (EW-51kg),5,WRIGHT MCKENZIE,,CAN
Elite Women - 51 Kg (EW-51kg),5,BOUREGA MAYSSOUN,,FRA
Elite Women - 51 Kg (EW-51kg),5,KUSUM,,IND
Elite Women - 51 Kg (EW-51kg),5,CHIU CHING-YU,,TPE
Elite Women - 51 Kg (EW-51kg),9,BARCELÓ CALDERÓN LAURA,,ESP
Elite Women - 51 Kg (EW-51kg),9,ABDUMEZHITOVA RAKHMINA,,KAZ
Elite Women - 54 Kg (EW-54kg),1,POONAM,,IND
Elite Women - 57 Kg (EW-57kg),1,RUENROS PUNRAWEE,,THA
Elite Women - 54 Kg (EW-54kg),2,PREETI,,IND
Elite Women - 57 Kg (EW-57kg),2,WEERHEIM GABRIELLA,,NED
Elite Women - 54 Kg (EW-54kg),3,SMITH IVY-JANE,,ENG
Elite Women - 57 Kg (EW-57kg),3,AL AHMADIEH MARIE,,CAN
Elite Women - 54 Kg (EW-54kg),3,HAMDI AYA,,FRA
Elite Women - 57 Kg (EW-57kg),3,PARSONS VIVIEN,,ENG
Elite Women - 54 Kg (EW-54kg),5,CHONGPRONGKLANG NATNICHA,,THA
Elite Women - 57 Kg (EW-57kg),5,VINKA,,IND
Elite Women - 54 Kg (EW-54kg),5,GONZALEZ CACERES MARIA,,ESP
Elite Women - 57 Kg (EW-57kg),5,CARDENAS FERNANDEZ ANDREA,,ESP
Elite Women - 54 Kg (EW-54kg),5,de FELICE ANGELA,,SUI
Elite Women - 57 Kg (EW-57kg),5,HUTARINA DARIA-OLHA,,UKR
Elite Women - 54 Kg (EW-54kg),5,SHKEUL VICTORIIA,,UKR
Elite Women - 57 Kg (EW-57kg),5,PRACHI,,IND
Elite Women - 54 Kg (EW-54kg),9,ALIASKAR SYMBAT,,KAZ
Elite Women - 57 Kg (EW-57kg),9,TERESI MALOÉ,,FRA
Elite Women - 54 Kg (EW-54kg),9,DELGADO MEDEIROS MIREN,,ESP
Elite Women - 57 Kg (EW-57kg),9,ISSAYEVA SHAKHNAZ,,KAZ
Elite Women - 60 Kg (EW-60kg),1,PRIYA,,IND
Elite Women - 65 Kg (EW-65kg),1,ALLEN KAYLA,,ENG
